,ID,Age,Experience,Income,ZIP.Code,Family,CCAvg,Education,Mortgage,Personal.Loan,Securities.Account,CD.Account,Online,CreditCard,dUndergrad,dGrad
1,1,25,1,49,91107,4,1.6,1,0,0,1,0,0,0,1,0
2,2,45,19,34,90089,3,1.5,1,0,0,1,0,0,0,1,0
3,3,39,15,11,94720,1,1,1,0,0,0,0,0,0,1,0
4,4,35,9,100,94112,1,2.7,2,0,0,0,0,0,0,0,1
5,5,35,8,45,91330,4,1,2,0,0,0,0,0,1,0,1
6,6,37,13,29,92121,4,0.4,2,155,0,0,0,1,0,0,1
7,7,53,27,72,91711,2,1.5,2,0,0,0,0,1,0,0,1
8,8,50,24,22,93943,1,0.3,3,0,0,0,0,0,1,0,0
9,9,35,10,81,90089,3,0.6,2,104,0,0,0,1,0,0,1
10,10,34,9,180,93023,1,8.9,3,0,1,0,0,0,0,0,0
11,11,65,39,105,94710,4,2.4,3,0,0,0,0,0,0,0,0
12,12,29,5,45,90277,3,0.1,2,0,0,0,0,1,0,0,1
13,13,48,23,114,93106,2,3.8,3,0,0,1,0,0,0,0,0
14,14,59,32,40,94920,4,2.5,2,0,0,0,0,1,0,0,1
15,15,67,41,112,91741,1,2,1,0,0,1,0,0,0,1,0
16,16,60,30,22,95054,1,1.5,3,0,0,0,0,1,1,0,0
17,17,38,14,130,95010,4,4.7,3,134,1,0,0,0,0,0,0
18,18,42,18,81,94305,4,2.4,1,0,0,0,0,0,0,1,0
19,19,46,21,193,91604,2,8.1,3,0,1,0,0,0,0,0,0
20,20,55,28,21,94720,1,0.5,2,0,0,1,0,0,1,0,1
21,21,56,31,25,94015,4,0.9,2,111,0,0,0,1,0,0,1
22,22,57,27,63,90095,3,2,3,0,0,0,0,1,0,0,0
23,23,29,5,62,90277,1,1.2,1,260,0,0,0,1,0,1,0
24,24,44,18,43,91320,2,0.7,1,163,0,1,0,0,0,1,0
25,25,36,11,152,95521,2,3.9,1,159,0,0,0,0,1,1,0
26,26,43,19,29,94305,3,0.5,1,97,0,0,0,1,0,1,0
27,27,40,16,83,95064,4,0.2,3,0,0,0,0,0,0,0,0
28,28,46,20,158,90064,1,2.4,1,0,0,0,0,1,1,1,0
29,29,56,30,48,94539,1,2.2,3,0,0,0,0,1,1,0,0
30,30,38,13,119,94104,1,3.3,2,0,1,0,1,1,1,0,1
31,31,59,35,35,93106,1,1.2,3,122,0,0,0,1,0,0,0
32,32,40,16,29,94117,1,2,2,0,0,0,0,1,0,0,1
33,33,53,28,41,94801,2,0.6,3,193,0,0,0,0,0,0,0
34,34,30,6,18,91330,3,0.9,3,0,0,0,0,0,0,0,0
35,35,31,5,50,94035,4,1.8,3,0,0,0,0,1,0,0,0
36,36,48,24,81,92647,3,0.7,1,0,0,0,0,0,0,1,0
37,37,59,35,121,94720,1,2.9,1,0,0,0,0,0,1,1,0
38,38,51,25,71,95814,1,1.4,3,198,0,0,0,0,0,0,0
39,39,42,18,141,94114,3,5,3,0,1,1,1,1,0,0,0
40,40,38,13,80,94115,4,0.7,3,285,0,0,0,1,0,0,0
41,41,57,32,84,92672,3,1.6,3,0,0,1,0,0,0,0,0
42,42,34,9,60,94122,3,2.3,1,0,0,0,0,0,0,1,0
43,43,32,7,132,90019,4,1.1,2,412,1,0,0,1,0,0,1
44,44,39,15,45,95616,1,0.7,1,0,0,0,0,1,0,1,0
45,45,46,20,104,94065,1,5.7,1,0,0,0,0,1,1,1,0
46,46,57,31,52,94720,4,2.5,1,0,0,0,0,0,1,1,0
47,47,39,14,43,95014,3,0.7,2,153,0,0,0,1,0,0,1
48,48,37,12,194,91380,4,0.2,3,211,1,1,1,1,1,0,0
49,49,56,26,81,95747,2,4.5,3,0,0,0,0,0,1,0,0
50,50,40,16,49,92373,1,1.8,1,0,0,0,0,0,1,1,0
51,51,32,8,8,92093,4,0.7,2,0,0,1,0,1,0,0,1
52,52,61,37,131,94720,1,2.9,1,0,0,0,0,1,0,1,0
53,53,30,6,72,94005,1,0.1,1,207,0,0,0,0,0,1,0
54,54,50,26,190,90245,3,2.1,3,240,1,0,0,1,0,0,0
55,55,29,5,44,95819,1,0.2,3,0,0,0,0,1,0,0,0
56,56,41,17,139,94022,2,8,1,0,0,0,0,1,0,1,0
57,57,55,30,29,94005,3,0.1,2,0,0,1,1,1,0,0,1
58,58,56,31,131,95616,2,1.2,3,0,1,0,0,0,0,0,0
59,59,28,2,93,94065,2,0.2,1,0,0,0,0,0,0,1,0
60,60,31,5,188,91320,2,4.5,1,455,0,0,0,0,0,1,0
61,61,49,24,39,90404,3,1.7,2,0,0,1,0,1,0,0,1
62,62,47,21,125,93407,1,5.7,1,112,0,1,0,0,0,1,0
63,63,42,18,22,90089,1,1,1,0,0,0,0,0,0,1,0
64,64,42,17,32,94523,4,0,2,0,0,0,0,1,0,0,1
65,65,47,23,105,90024,2,3.3,1,0,0,0,0,0,0,1,0
66,66,59,35,131,91360,1,3.8,1,0,0,0,0,1,1,1,0
67,67,62,36,105,95670,2,2.8,1,336,0,0,0,0,0,1,0
68,68,53,23,45,95123,4,2,3,132,0,1,0,0,0,0,0
69,69,47,21,60,93407,3,2.1,1,0,0,0,0,1,1,1,0
